IsIndividual	CONTRIBUTOR	STREET1	STREET2	CITY	STATE	ZIP	ContributorType	ContributionType	CONT_DATE	CONT_AMT	ENTITY_S
N	COMMITTEE TO ELECT JORDY NIVAR	302 NORTH 7TH STREET		NEWARK	NJ	07107	CANDIDATE COMMITTEE	MONETARY	2026-04-06T00:00:00	7000.0	503645
N	COMMITTEE TO ELECT JORDY NIVAR	302 NORTH 7TH STREET		NEWARK	NJ	07107	CANDIDATE COMMITTEE	MONETARY	2026-04-14T00:00:00	3000.0	503645
N	COMMITTEE TO ELECT MARK COMESANAS	677 LAKE STREET		NEWARK	NJ	07104	CANDIDATE COMMITTEE	MONETARY	2026-04-21T00:00:00	4000.0	503645
N	ELECTION FUND OF HASANI COUNCIL	43 SCHEERER AVENUE		NEWARK	NJ	07112	CANDIDATE COMMITTEE	MONETARY	2026-04-08T00:00:00	10000.0	503645
N	GREAT SCHOOLS FOR ALL, INCORPORATED	ONE GATEWAY CENTER, SUITE 2600		NEWARK	NJ	07102	BUSINESS/CORP	MONETARY	2026-04-02T00:00:00	15000.0	503645
N	LAUNDRY, DISTRIBUTION AND FOOD SERVICE JOINT BOARD	701-703 MCCARTER HIGHWAY		NEWARK	NJ	07102	UNION	MONETARY	2026-05-06T00:00:00	250.0	503645
